년월,원계열,계절조정
2016/08,3.6,3.8
2016/09,3.5,3.9
2016/10,3.3,3.8
2016/11,3.1,3.6
2016/12,3.2,3.5
2017/01,3.7,3.6
2017/02,4.9,3.8
2017/03,4.1,3.6
2017/04,4.2,3.9
2017/05,3.6,3.6
2017/06,3.8,3.8
2017/07,3.4,3.5
2017/08,3.6,3.7
2017/09,3.3,3.7
2017/10,3.2,3.6
2017/11,3.1,3.7
2017/12,3.3,3.7
